Id,COMM_CODE,Community_Name,Funded_services,HACC_services,Health_or_Human_services,Dental_sites,Primary_schools,Distance_Service,Number_of_households,Rank_funded,Rank_HACC,Rank_HH_services,Rank_dental,Rank_school,Rank_distance,Rank_household,DHS_Region,Area,Local_Government_Area,Population_density,Nearest_Health_Service,Residential,Business,Industrial,Rural,Other,Persons_per_household,People_In_non_private_dwellings,Public_rental_dwellings,Unemployed_persons,Persons_above_75_living_alone,Main_cultural_group_1_name,Main_cultural_group_1_percentage,Main_cultural_group_2_name,Main_cultural_group_2_percentage,Main_cultural_group_3_name,Main_cultural_group3_percentage
1,T001,Aireys Inlet-Fairhaven,0,0,3,0,0,18,395,1,1,183,182,79,204,250,Barwon-South Western ,8.3,Surf Coast (S),156.2,Lorne Community Hospital,30.30%,0.20%,0.00%,39.20%,30.40%,3,0.50%,2.30%,3.60%,2.70%,ANGLO SAXON AND CELTIC,85.70%,GERMAN,4.80%,assets/towns/Aireys Inlet-Fairhaven.jpg,"Aireys Inlet is a small coastal inlet and town located on the Great Ocean Road, southwest of Melbourne, Victoria, Australia. Aireys Inlet is located between Anglesea and Lorne, and joined with Fairhaven to the west."
2,T002,Alberton,0,0,0,0,1,6,67,2,2,1,1,114,100,33,Gippsland,3.1,Wellington (S),57.1,Yarram and District Health Service,6.00%,0.00%,2.50%,84.80%,6.70%,2.5,0.00%,0.00%,12.20%,3.60%,ANGLO SAXON AND CELTIC,85.40%,DUTCH,7.30%,assets/towns/Alberton.jpg,"Alberton is a small town in Victoria, Australia. It is located along the South Gippsland Highway, 7 kilometres south of Yarram and 216 kilometres east of Melbourne. Albert River passes through the town. At the 2006 census, Alberton had a population of 162.
The township was surveyed in 1842 and named after Prince Albert, the husband of Queen Victoria. Initially the township consisted of two settlements, one named Alberton and the other named Victoria, which were separated by Victoria Street (renamed Brewery Road in 1847)."
3,T003,Alexandra,29,14,32,0,2,1,849,355,353,341,308,329,45,314,Hume,4.5,Murrindindi (S),498.7,Alexandra District Hospital,70.40%,2.80%,9.70%,2.70%,14.40%,2.6,2.00%,4.00%,4.60%,3.80%,ANGLO SAXON AND CELTIC,88.20%,DUTCH,2.70%,assets/towns/Alexandra.jpg,"Alexandra is a significant regional centre in Victoria, Australia and 130 kilometres north east of the State Capital, Melbourne. It is located at the junction of the Goulburn Valley Highway (B340) and Maroondah Highway (B360), in the Shire of Murrindindi local government area. At the 2016 census, the town of Alexandra had a population of 2,695. The area has expanded since and is developing steadily. Postcode is 3714."
4,T004,Allansford,0,0,1,0,1,11,207,3,3,115,115,165,128,184,Barwon-South Western ,1,Warrnambool (C),732.9,South West Healthcare (Warrnambool),82.00%,0.00%,0.00%,4.20%,13.80%,3.2,0.00%,0.00%,0.00%,1.50%,ANGLO SAXON AND CELTIC,89.90%,DUTCH,2.60%,assets/towns/Allansford.jpg,"Allansford is a town in the Western District of Victoria, Australia. It is in the City of Warrnambool local government area. The Hopkins River flows through the town.Warrnambool Cheese and Butter is based in Allansford."
5,T005,Anglesea,3,0,16,0,1,29,889,278,267,273,267,274,322,316,Barwon-South Western ,7.2,Surf Coast (S),351.4,Lorne Community Hospital,49.00%,0.10%,0.50%,1.50%,48.80%,2.7,1.10%,2.80%,5.10%,3.60%,ANGLO SAXON AND CELTIC,86.20%,GERMAN,4.50%,assets/towns/Anglesea.jpg,"Originally known as Swampy Creek, the area's name was changed to Anglesea River in 1884 when the township was established. A Post Office under that name opened on 16 April 1886. and was renamed Anglesea in 1950. The name is ultimately named after Anglesey which is an island in North Wales.
Alcoa of Australia operated a power station and open-cut coalmine in the town until August 2015. The site is now the subject of restorative work."
6,T006,Apollo Bay-Marengo,11,0,26,0,0,2,564,318,297,320,299,106,75,282,Barwon-South Western ,5.2,Colac-Otway (S),285.4,Otway Health and Community Services,47.20%,1.70%,1.90%,16.60%,32.60%,2.5,1.90%,1.20%,2.90%,2.60%,ANGLO SAXON AND CELTIC,83.30%,ITALIAN,3.00%,assets/towns/Apollo Bay-Marengo.jpg,"Apollo Bay is a coastal town in southwestern Victoria, Australia. It is situated on the eastern side of Cape Otway, along the edge of the Barham River and on the Great Ocean Road, in the Colac Otway Shire. "
7,T007,Apsley,0,0,0,0,1,21,82,4,4,2,2,115,244,60,Grampians,3.7,West Wimmera (S),47.6,Edenhope and District Hospital,8.50%,0.00%,0.00%,63.80%,27.70%,2,0.00%,0.00%,9.00%,4.20%,ANGLO SAXON AND CELTIC,88.60%,SOUTH ASIAN,5.70%,assets/towns/Apsley.jpg,"Apsley had a football club that competed in the Kowree Naracoorte Football League from 1937. Later this would become the Kowree Naracoorte Tatiara Football League where Apsley competed until 1998, when they merged with Edenhope. Since 2007 Edenhope Apsley have played in the Horsham & District Football League. Apsley's best known footballers were Reg Burgess, who played for the Essendon Football Club and Lachlan Neale, who currently plays for the Brisbane Lions Football Club"
8,T008,Ararat,59,25,67,2,5,2,2749,374,378,382,368,376,76,362,Grampians,18.9,Ararat (RC),404.5,East Grampians Health Service (Ararat),28.50%,1.80%,4.10%,27.30%,38.30%,2.5,6.40%,5.40%,7.30%,3.40%,ANGLO SAXON AND CELTIC,86.80%,GERMAN,5.10%,assets/towns/Ararat.jpg,"It is the largest settlement in the Rural City of Ararat local government area and is the administrative centre.
The discovery of gold in 1857 during the Victorian gold rush transformed it into a boomtown which continued to prosper until the turn of the 20th century, after which it has steadily declined in population. It was proclaimed as a city on 24 May 1950. After a decline in population over the 1980s and 90s, there has been a small but steady increase in the population, and it is the site of many existing and future, large infrastructure projects, including the Hopkins Correctional Facility development project."
9,T009,Arcadia Downs,0,0,0,0,0,12,91,5,5,3,3,1,138,77,Hume,2,Greater Shepparton (C),160.5,Goulburn Valley Health (Shepparton),28.90%,0.00%,0.00%,8.40%,62.70%,3.4,0.00%,0.00%,0.00%,1.00%,ANGLO SAXON AND CELTIC,77.70%,FRANCO-BELGIAN,3.70%,assets/towns/Arcadia Downs.jpg,
10,T010,Avenel,1,0,2,0,1,18,276,195,195,164,163,197,209,215,Hume,4,Strathbogie (S),203.7,Seymour District Memorial Hospital,50.00%,0.00%,0.00%,23.20%,26.80%,2.7,0.40%,0.00%,2.50%,4.20%,ANGLO SAXON AND CELTIC,88.40%,GERMAN,4.40%,assets/towns/Avenel.jpg,"The town is home to many organisations including sporting clubs such as the Avenel Football Club competing in the Kyabram District Football League, Avenel Netball Club, Avenel Tennis Club, Avenel Cricket Club and the Avenel Bowling Club. Golfers play at the Avenel Golf Club on Bank Street."
11,T011,Avoca,0,0,21,0,1,27,393,6,6,300,287,280,306,248,Grampians,6.3,Pyrenees (S),162.5,Maryborough District Health Service (Maryborough),27.10%,1.60%,3.50%,55.40%,12.40%,2.4,3.20%,3.80%,10.70%,3.50%,ANGLO SAXON AND CELTIC,89.90%,GERMAN,3.00%,assets/towns/Avoca.jpg,"The town stands in the gently undulating basin of the Avoca River, which rises in the Pyrenees Ranges to the west. To the south, the region is bounded by low hills of the Great Dividing Range; eastwards, the basin ends in a dry forested rise; to the north the Avoca River runs slowly through the plains of the Wimmera before joining Lake Bael Bael and the lake and swamps just south of the Murray. "
12,T012,Axedale,1,0,1,0,1,21,90,196,196,140,140,182,250,75,Loddon Mallee,1.6,Greater Bendigo (C),148,The Bendigo Hospital,70.90%,1.00%,0.00%,4.10%,24.00%,2.6,0.00%,0.00%,15.30%,1.70%,ANGLO SAXON AND CELTIC,94.70%,ITALIAN,3.00%,assets/towns/Axedale.jpg,"The town is nestled alongside the Campaspe River which feeds out of Lake Eppalock (about 20 minutes drive away). It has a golf course, tennis courts, a school, a pub and a convenience store/petrol station and a small community of artists. It lies between Heathcote and Bendigo."
13,T013,Bacchus Marsh,37,9,49,3,4,3,4614,362,343,366,371,370,89,376,Grampians,20.5,Moorabool (S),737,Djerriwarrh Health Services (Bacchus Marsh),53.00%,1.20%,2.30%,26.70%,16.80%,3,0.70%,4.40%,4.70%,1.80%,ANGLO SAXON AND CELTIC,80.50%,ITALIAN,4.50%,assets/towns/Bacchus Marsh.jpg,"Bacchus Marsh is an urban centre and suburban locality in Victoria, Australia located approximately 50 kilometres (30 mi) north west of the state capital Melbourne and 14 kilometres (9 mi) west of Melton at a near equidistance to the major cities of Melbourne, Ballarat and Geelong. The population of the Bacchus Marsh urban area was 20,345 at the 2016 Census. Bacchus Marsh is the largest urban area in the local government area of Shire of Moorabool."
14,T014,Bairnsdale,99,21,67,7,4,1,4446,382,371,381,388,374,70,375,Gippsland,29.1,East Gippsland (S),429.6,Bairnsdale Regional Health Service,36.80%,1.60%,9.00%,25.40%,27.30%,2.6,1.70%,6.80%,7.00%,3.60%,ANGLO SAXON AND CELTIC,84.60%,ITALIAN,4.00%,assets/towns/Bairnsdale.jpg,"Bairnsdale (/ˈbɛərnzdeɪl/) is a city in East Gippsland, Victoria, Australia. The estimated population of Bairnsdale urban area was 14,887 at June 2016. The city is a major regional centre of eastern Victoria along with Traralgon and Sale and the commercial centre for the East Gippsland region and the seat of local government for the Shire of East Gippsland. Bairnsdale was first proclaimed a shire on 16 July 1868 and it was proclaimed as a city on 14 July 1990."
15,T015,Ballan,30,19,26,0,2,23,661,356,366,321,300,324,270,295,Grampians,5.7,Moorabool (S),365.5,Djerriwarrh Health Services (Bacchus Marsh),46.80%,1.10%,0.00%,33.70%,18.40%,2.7,3.00%,4.10%,8.80%,1.50%,ANGLO SAXON AND CELTIC,84.30%,ITALIAN,5.40%,assets/towns/Ballan.jpg,"Ballan is a small town in the state of Victoria, Australia located on the Werribee River, 78 kilometres (48 mi) northwest of Melbourne. At the 2016 census, Ballan had a population of 2,985. It is the main administrative centre for the Shire of Moorabool local government area. During the Victorian Gold Rush, it became an important staging point for coaches travelling to the Ballarat goldfields."
16,T016,Balmoral,3,0,5,0,0,48,78,279,268,213,212,86,382,51,Barwon-South Western ,4.2,Southern Grampians (S),47.3,Coleraine District Health Services,47.60%,0.00%,0.00%,40.80%,11.60%,2.5,0.00%,5.10%,8.60%,4.10%,ANGLO SAXON AND CELTIC,93.40%,FRANCO-BELGIAN,1.50%,assets/towns/Balmoral.jpg,"Balmoral is a township in the Shire of Southern Grampians in the Western District of Victoria, Australia. At the 2016 census, Balmoral and the surrounding area had a population of 294. The township was settled in the early 1850s, the Post Office opening on 31 October 1855. A railway line, built in a number of sections, once connected Horsham and Hamilton, running via Cavendish, Balmoral and East Natimuk. The majority of the railway track has been removed, though several rail bridges remain in place."
17,T017,Bannockburn,28,15,12,0,1,25,793,352,358,257,252,261,286,308,Grampians,13.6,Golden Plains (S),229.4,The Geelong Hospital,69.20%,0.50%,0.00%,21.40%,8.80%,3.2,0.00%,0.00%,3.90%,0.90%,ANGLO SAXON AND CELTIC,77.80%,GERMAN,5.40%,assets/towns/Bannockburn.jpg,"The township, originally named Leigh Road, was founded in the early 1850s. It is presumed to have been named after the 14th century battle site in Scotland, and grew as a coaching stop during the 1850s and 1860s, when the main route to the Ballarat goldfields was via the port of Geelong. The railway came to the town with the opening of the Geelong-Ballarat line in 1862."
